Year,overall avg reads
1972,84410.0105
1977,72942.8421
2001,68817.1158
1968,63366.8211
1957,53910.4737
1940,52458.8632
1940,52175.6
1960,48445.2737
1965,46936.3895
1991,45196.4421
1998,43920.2947
1956,43182.6737
1972,42517.8526
1951,39003.4947
1982,26360.1684
1976,22562.9368
1940,21058.2737
1994,20738.9158
1956,20115.1579
1957,19504.4737
1947,17382.6947
1962,15870.5053
1985,15767.0421
1952,12411.9684
1977,12059.7368
1993,10973.6211
1955,10415.4737
1962,8828.90526
1955,8574.26316
1969,8243.08421
1966,6197.77895
2007,5790.61053
1987,5776.54737
1972,5657.77895
1981,5168.36842
1963,4585.67368
1978,4484.05263
1940,4142.97895
1972,4020.8
1987,3479.27368
1972,3372.86316
1962,3344.83158
1988,3332.69474
1975,3144.6